player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
harry higgs,2022,2022-04-10,12,-1.6439702300438628,-1.16646790270523,-0.16155138630319094,-0.05822581322873139,-0.2516646196918321,-1.4781965835228412,0.0,0.5,-0.804698385073931,0,,,0,0,-1.4416666666666664,-0.82,-0.40166666666666667,0.0,0.5,63.833333333333336,14.0,1,1,1,0,0,0
hideki matsuyama,2022,2022-04-10,12,0.47976349096110876,0.6651926132882224,-0.1429223721162604,-0.019942796042894995,-0.032168287221801525,0.6139522710901696,0.3333333333333333,0.9166666666666666,0.27422178721711493,7,12.571428571428571,1.0,1,1,1.1216666666666668,0.735,0.25833333333333336,0.3333333333333333,0.8333333333333334,29.666666666666668,14.0,1,1,1,0,0,0
hudson swafford,2022,2022-04-10,12,-0.9461009223189168,0.1410393180958555,-0.12087526090420979,-0.7645727315895016,-0.007408481198254001,-0.6357017663807655,0.08333333333333333,0.5833333333333334,-0.165359463369955,2,85.0,82.0,0,0,-1.5859999999999999,-0.406,-0.2,0.0,0.5,65.66666666666667,30.0,1,1,0,0,0,0
harold varner iii,2022,2022-04-10,12,-0.19530104235473203,-0.22905329378635944,-0.08658170136336073,0.4207920416589837,-0.38819041837959944,-0.1964673891406898,0.08333333333333333,0.6666666666666666,-0.18557568033526764,0,,,0,0,-1.2033333333333334,-0.8650000000000001,-0.24,0.16666666666666666,0.5,54.166666666666664,23.0,1,1,0,0,0,0
jason kokrak,2022,2022-04-10,12,-0.05808003100572847,0.06105691303839173,0.08959854579027071,-0.09779043331893021,-0.1100761335699183,-0.1468916252067172,0.08333333333333333,0.75,0.03421687633938859,2,71.0,49.0,0,0,-0.3133333333333333,-0.10833333333333334,-0.05000000000000001,0.0,0.8333333333333334,40.0,14.0,1,1,1,0,0,0
joaquin niemann,2022,2022-04-10,12,0.8149960558008016,0.4630023155197158,-0.36727376252878696,0.44743063202828076,0.42629191097244873,1.3380742738620275,0.25,0.75,0.22174529404888793,2,60.0,40.0,0,0,0.9583333333333334,0.5583333333333332,-0.37499999999999994,0.3333333333333333,0.5,44.833333333333336,35.0,1,0,0,0,0,0
jon rahm,2022,2022-04-10,12,1.4726828861494605,0.4977958346050172,-0.06270451999882062,-0.23696290245508725,1.2768397005083933,1.5365895181964497,0.5833333333333334,0.9166666666666666,0.5420518846574637,5,10.4,4.0,0,0,1.4516666666666664,0.6433333333333334,-0.16166666666666665,0.3333333333333333,1.0,20.0,27.0,1,1,0,0,0,0
justin rose,2022,2022-04-10,12,0.17506726769167494,-0.5562963950718238,0.16726563342399944,-0.2016505379036573,0.2513626750283814,-0.5079946872827777,0.25,0.8333333333333334,-0.08678416692541512,7,19.857142857142858,2.0,0,0,0.24400000000000005,-0.5499999999999999,0.16199999999999998,0.3333333333333333,0.6666666666666666,45.0,85.0,0,0,0,0,0,0
j.j. spaun,2022,2022-04-10,12,0.500597443237586,0.38642666934062336,-0.12764956272023217,-0.01540205678609065,0.44833266670217214,0.8196499198318584,0.08333333333333333,0.75,0.22587599815080994,0,,,0,0,0.023333333333333428,0.37666666666666665,-0.49,0.16666666666666666,0.6666666666666666,45.0,23.0,1,1,0,0,0,0
jordan spieth,2022,2022-04-10,12,-0.15647536390074354,0.4327301023518203,-0.6168391909352491,-0.036803998252011506,0.06178970577962061,0.4577158098794294,0.08333333333333333,0.8333333333333334,-0.08978157966868924,7,12.428571428571429,1.0,1,0,-0.13666666666666663,0.7516666666666666,-0.79,0.16666666666666666,0.6666666666666666,47.166666666666664,85.0,0,0,0,0,0,0
justin thomas,2022,2022-04-10,12,2.003959537531317,0.9391878995167897,0.2059739911634553,0.21405647394887647,0.5214788332719579,1.6747089291058364,0.6666666666666666,1.0,0.828185951914143,6,19.166666666666668,4.0,0,0,2.0966666666666667,0.895,0.19166666666666665,0.6666666666666666,1.0,12.5,8.0,1,1,1,1,0,0
kevin kisner,2022,2022-04-10,12,-0.12696418264636702,-0.4776834434251486,0.4561982562967019,0.3157143591871751,-0.22432723950827596,-0.3843031911733919,0.25,0.6666666666666666,-0.051290577574072446,6,51.666666666666664,21.0,0,0,0.36999999999999994,-0.32,0.5416666666666666,0.3333333333333333,0.8333333333333334,39.666666666666664,44.0,1,0,0,0,0,0
kyoung-hoon lee,2022,2022-04-10,12,-0.5224647036580469,-0.18732004389091816,-0.28295364671915035,-0.14115059953073072,0.12162609669953517,-0.20498049673855098,0.0,0.9166666666666666,-0.254945279368803,0,,,0,0,-0.385,-0.6316666666666666,-0.09833333333333334,0.0,0.8333333333333334,48.166666666666664,85.0,0,0,0,0,0,0
kevin na,2022,2022-04-10,12,-0.7238004789858925,-0.024367032647687012,0.08617487739454652,-0.093986490611837,-0.6915977037245665,-0.8123617093296388,0.3333333333333333,0.75,-0.1719970257008103,6,36.666666666666664,12.0,0,0,-1.32,-0.1683333333333333,-0.14333333333333334,0.0,0.5,53.666666666666664,14.0,1,1,1,0,0,0
